umd_tree_cover_loss__year,forest_loss,remaining_forest_percentage
2001,991738.9961499621,99.90367422354585
2002,2664577.30103657,99.64486875311374
2003,2486990.3879011865,99.40331197146193
2004,3398617.1367523298,99.07321056792838
2005,3329539.1597210867,98.74981858068203
2006,2813543.437515218,98.47654430462931
2007,2904253.07265389,98.194459569302
2008,2713685.0760212154,97.93088435141244
2009,2801437.0921953814,97.65878594231413
2010,3306113.9939504047,97.33766919814097
2011,2750624.84713041,97.07050608852997
2012,3596144.8610900147,96.7212191820648
2013,2639101.58405283,96.46488812095684
2014,3587363.784889027,96.11645410419997
2015,2932063.160705561,95.83166822639946
2016,6128135.980709921,95.23645370034966
2017,5001644.3008628115,94.75065322996538
2018,3648015.2577381846,94.39632824770453
2019,3751047.963508477,94.03199588908556
2020,4209903.251061812,93.62309576412359
2021,3749200.5460366635,93.25894284175055
2022,4116764.8216371075,92.85908908036497
2023,3737837.316982966,92.49603984743631
