umd_tree_cover_loss__year,umd_tree_cover_loss__ha
2001,99.90367422354585
2002,99.64486875311374
2003,99.40331197146193
2004,99.07321056792838
2005,98.74981858068203
2006,98.47654430462931
2007,98.194459569302
2008,97.93088435141244
2009,97.65878594231413
2010,97.33766919814097
2011,97.07050608852997
2012,96.7212191820648
2013,96.46488812095684
2014,96.11645410419997
2015,95.83166822639946
2016,95.23645370034966
2017,94.75065322996538
2018,94.39632824770453
2019,94.03199588908556
2020,93.62309576412359
2021,93.25894284175055
2022,92.85908908036497
2023,92.49603984743631
