umd_tree_cover_loss__year,Brazil,Canada,Indonesia,Russia,United States
2001,2746361.556706103,1358154.79949204,744087.9891098477,1826602.9954259812,1943318.7440120648
2002,3507049.440358984,2316887.665334397,855275.8630337295,2700384.153829604,2038435.6910356765
2003,3248526.73442801,1607282.5796400935,544810.296641457,3030068.957642023,1649383.9095027775
2004,3848770.7897086944,2706458.8716438846,1289042.657055467,3521017.8794269357,2746257.2881786646
2005,3486562.7054962097,2920793.2579275374,1182441.7845005742,1589993.1619496904,2691544.2109565176
2006,2876804.746967183,2406190.736302248,1433150.23419093,2233420.254878983,2605855.554393745
2007,2621820.1779264393,2117900.1703135986,1387625.2924869312,2338922.6217099368,2435127.9796809657
2008,2444308.0383168864,1949007.8372103616,1396251.2897923924,3047988.248155202,2213723.538747894
2009,1817901.2327587209,1550371.9872813213,1944963.1724519413,2111640.8862039647,1608980.963182158
2010,2688896.176265968,2104876.43493423,1279331.9745508246,1859545.0725319833,2167662.1883133464
2011,1923363.694546616,2160700.601292115,1543628.9225005715,3021487.903716404,1663692.3044004168
2012,2918633.141023961,2545494.223989908,2260260.504603911,5391244.136038502,1964094.349265569
2013,1945506.2526936333,2807337.591589396,1139298.6687667277,4965537.343060015,1736445.498079965
2014,2693134.2954895324,2643608.5411798847,1894360.7272287677,4489888.985174263,1736526.8071503565
2015,2222772.4175309334,2733439.469266111,1746470.5346029974,2332111.35796511,2289649.127923138
2016,5378844.034540812,2084425.6748787367,2422071.536672208,5051685.722775864,2264066.7497078814
2017,4519833.171433705,2559736.0398636474,1300719.3759037352,5288940.641140038,2311358.0304301097
2018,2948462.0802693786,2142937.380732713,1218732.5160552235,5560430.925395683,2092359.4724431727
2019,2696748.7992548263,2175715.827192218,1176884.143702294,3686557.0413906686,2109918.2826289074
2020,3291391.786526117,1195271.7557688633,961587.943140165,5442086.35024786,1966716.3749185023
2021,2991909.305950562,2524986.4914715015,841391.3909846384,6518851.583361313,2044298.91834886
2022,3308930.3915435243,2299843.8454220886,885238.4162738138,4287816.829438801,2204642.5210100487
2023,2806057.586700839,8570168.427726839,1395285.1593976468,3354720.169334325,1382421.457853642
